humidity,light,temperature,soil,label
33,34,23,9,3
31,95,24,37,3
1,13,24,48,3
10,75,22,73,2
22,29,23,92,1
30,86,27,5,3
23,62,28,40,3
5,5,27,55,3
29,40,26,79,2
29,14,28,99,1
9,9,28,19,3
11,22,31,35,3
25,100,31,55,3
17,40,30,79,2
24,50,31,88,1
8,103,21,0,3
3,432,23,39,3
8,406,20,44,3
20,227,24,80,2
31,275,24,81,1
13,142,28,6,3
0,132,26,34,3
14,517,25,49,3
29,231,25,62,2
32,301,28,95,1
13,220,29,15,3
19,185,32,28,3
27,331,32,51,3
5,282,31,73,2
29,109,30,85,1
27,952,24,14,3
10,858,23,20,3
26,712,21,53,3
7,892,21,69,2
2,603,22,86,1
5,754,28,6,3
33,929,25,33,3
0,718,25,53,3
27,618,26,61,2
4,791,24,88,1
33,877,28,3,3
25,818,32,26,3
32,909,31,51,3
14,822,31,79,2
14,825,30,88,1
10,1528,21,5,3
27,1907,23,30,3
14,1433,20,44,3
10,1915,22,71,2
11,1144,21,85,1
20,1770,26,18,3
8,1492,24,22,3
20,1173,26,46,3
17,1025,25,66,2
12,1692,24,84,1
2,1739,30,6,3
31,1046,28,31,3
25,1934,30,42,3
5,1620,31,67,2
19,1991,28,99,1
1,2032,20,0,3
1,2295,24,32,3
15,2160,20,49,3
32,2695,24,77,2
29,2919,21,86,2
8,2707,27,9,3
22,2273,27,23,3
23,2505,28,42,3
27,2443,26,74,2
32,2383,25,97,2
31,2001,30,20,3
0,2658,29,31,3
28,2462,28,51,3
7,2535,29,78,2
2,2880,30,85,2
50,58,24,1,3
53,65,21,34,3
53,64,24,42,3
43,14,24,66,2
33,93,23,89,1
59,21,27,0,3
36,36,28,24,3
63,47,28,55,3
39,37,25,61,2
45,9,26,86,1
62,75,29,17,3
47,65,29,36,3
46,20,29,60,3
43,94,28,70,2
54,80,28,100,1
65,467,22,17,3
59,358,20,27,3
59,310,24,50,3
43,214,20,72,2
40,100,22,86,1
33,367,25,8,3
35,371,28,33,3
50,500,27,47,3
63,334,25,64,2
45,585,25,89,1
51,205,32,5,3
40,394,32,39,3
46,154,30,48,3
49,591,31,65,2
56,502,32,84,1
34,740,24,9,3
55,738,22,20,3
59,821,24,50,3
66,733,21,60,2
45,987,21,96,1
54,672,26,14,3
59,730,25,38,3
59,808,24,51,3
58,676,27,80,2
58,661,25,84,1
35,719,32,16,3
43,765,29,40,3
51,981,29,40,3
61,730,30,60,2
57,839,29,84,1
41,1132,22,14,3
38,1265,21,35,3
61,1686,21,59,3
46,1863,22,77,2
38,1912,22,82,1
52,1776,27,17,3
48,1646,28,24,3
37,1290,28,40,3
56,1982,28,65,2
44,1516,27,87,1
54,1843,29,20,3
44,1593,29,39,3
57,1656,32,40,3
45,1228,30,60,2
58,1030,30,91,1
65,2457,24,14,3
63,2656,23,31,3
35,2058,22,60,3
56,2706,22,67,2
36,2015,22,88,2
47,2937,28,3,3
61,2892,25,27,3
61,2012,25,46,3
34,2117,26,65,2
53,2146,24,84,2
61,2958,32,12,3
35,2597,32,21,3
63,2818,30,49,3
62,2471,29,63,2
36,2580,29,98,2
92,35,21,12,2
81,64,22,27,2
97,77,23,48,2
87,10,22,69,1
77,39,24,100,0
79,61,28,11,2
82,83,26,35,2
83,8,27,51,2
85,22,26,64,1
76,1,27,91,0
73,5,30,6,2
74,90,31,36,2
71,64,28,57,2
84,4,28,62,1
80,14,30,93,0
81,391,24,1,2
93,176,24,37,2
80,236,22,46,2
78,132,20,76,1
83,508,21,90,0
86,193,28,17,2
90,124,26,38,2
76,211,26,56,2
69,271,27,70,1
76,179,26,87,0
91,249,29,9,2
87,519,30,37,2
73,583,30,50,2
87,299,30,75,1
96,228,28,95,0
92,726,20,7,2
74,831,23,38,2
89,843,21,59,2
93,979,22,66,1
80,973,20,87,0
84,694,25,19,2
93,691,28,40,2
87,980,24,50,2
80,687,25,61,1
67,813,25,99,0
80,929,30,3,2
92,678,29,31,2
71,703,30,47,2
77,886,30,74,1
94,847,28,88,0
66,1004,24,18,2
72,1479,22,35,2
87,1239,21,50,2
91,1507,20,75,1
76,1608,20,82,0
77,1687,25,3,2
98,1379,27,20,2
89,1032,27,40,2
90,1718,24,76,1
74,1792,24,86,0
100,1477,32,15,2
92,1403,32,37,2
94,1504,28,55,2
67,1079,32,72,1
98,1323,30,94,0
80,2150,23,19,2
87,2495,23,40,2
75,2951,22,46,2
98,2841,22,69,1
78,2814,21,86,1
87,2515,28,18,2
79,2782,28,31,2
98,2949,27,49,2
83,2961,26,60,1
75,2752,26,94,1
81,2898,32,8,2
95,2032,28,24,2
97,2913,28,53,2
98,2456,30,69,1
