,humidity,light,temperature,soil,label
0,76.0,632.5,23.4,30.0,0.0
1,78.0,406.666656,23.0,60.0,0.0
2,61.0,344.166656,29.299999,49.70904968,2.0
3,79.0,0.0,24.1,49.58103521,0.0
4,74.0,18.333332,27.1,50.0,0.0
5,62.0,144.16665600000005,28.9,50.0,2.0
6,53.0,34.0,23.0,36.0,3.0
7,65.0,409.999969,28.0,49.58103521,0.0
8,72.0,281.666656,27.6,50.0,1.0
9,79.0,460.833313,22.6,40.2,0.0
10,78.0,0.0,25.799999,60.5,0.0
11,77.0,0.0,26.700001,49.77880291,0.0
12,58.0,676.0,27.0,80.0,2.0
13,80.0,0.0,24.1,30.0,0.0
14,68.0,1053.333252,28.0,50.17331641,0.0
15,78.0,0.0,26.200001,50.04136289,0.0
16,48.0,474.999969,31.299999,50.0,2.0
17,60.0,34.166664000000004,28.0,50.3900634,0.0
18,70.0,952.0,24.0,31.0,3.0
19,78.0,0.0,26.200001,49.98015822,0.0
20,61.0,2892.0,25.0,47.0,3.0
21,82.0,83.0,26.0,35.0,2.0
22,65.0,678.0,29.0,31.0,2.0
23,64.0,320.833313,28.0,49.51117047,0.0
24,63.0,173.333328,28.9,49.58103521,2.0
25,50.0,507.499969,29.299999,49.39285613,2.0
26,60.0,2490.0,30.200001,49.39285613,3.0
27,64.0,308.333313,28.5,50.0,2.0
28,62.0,238.333328,28.9,49.59396936,2.0
29,80.0,2150.0,23.0,40.0,2.0
30,73.0,299.166656,26.700001,50.0,1.0
31,67.0,694.166626,28.0,50.34282498,0.0
32,61.0,2012.0,25.0,46.0,3.0
33,50.0,500.0,27.0,47.0,3.0
34,68.0,13.333332999999998,28.0,49.32682402,0.0
35,68.0,670.0,28.0,50.20540672,0.0
36,79.0,29.999998,23.799999,49.51117047,0.0
37,77.0,0.0,25.799999,50.14376309,0.0
38,70.0,189.166656,28.0,70.3,1.0
39,60.0,555.833313,28.0,49.70904968,0.0
40,73.0,464.999969,27.1,49.70904968,1.0
41,72.0,321.666656,26.200001,49.39080431,1.0
42,63.0,106.66666399999998,27.1,50.0,0.0
43,72.0,350.833313,27.6,50.3900634,1.0
44,67.0,449.999969,27.6,49.39080431,0.0
45,70.0,9.0,28.0,38.0,3.0
46,64.0,93.0,23.0,33.0,1.0
47,65.0,2880.0,30.0,30.0,2.0
48,71.0,109.999992,28.0,60.5,1.0
49,58.0,51.666664,28.0,60.5,0.0
50,71.0,22.5,27.6,49.58848797,0.0
51,53.0,407.499969,28.9,49.50059557,2.0
52,59.0,432.0,23.0,39.0,3.0
53,69.0,422.499969,28.0,55.0,1.0
54,69.0,963.333313,26.200001,36.44568367,1.0
55,73.0,164.16665600000005,24.799999,49.7224235,0.0
56,66.0,858.0,23.0,39.0,3.0
57,60.0,40.0,28.5,49.69467689,1.0
58,72.0,506.66665599999993,27.6,50.04136289,1.0
59,64.0,44.166664,28.9,49.39285613,1.0
60,77.0,404.999969,23.4,30.0,0.0
61,62.0,193.333328,28.9,49.39080431,2.0
62,66.0,603.0,22.0,56.0,1.0
63,60.0,43.333332,28.5,29.31494266,1.0
64,68.0,1702.499878,28.0,48.72841421,0.0
65,73.0,86.666664,27.1,50.0,0.0
66,81.0,64.0,22.0,33.0,2.0
67,59.0,55.83333199999999,28.0,30.0,0.0
68,67.0,2072.5,28.0,48.81987973,0.0
69,79.0,30.833332,23.799999,49.39285613,0.0
70,67.0,2215.0,27.6,49.14228956,0.0
71,74.0,0.0,27.6,50.28149211,0.0
72,51.0,550.0,29.799999,50.0,2.0
73,80.0,0.0,24.1,49.98015822,0.0
74,71.0,1278.333252,27.6,49.13661268,1.0
75,78.0,0.0,25.799999,49.39080431,0.0
76,62.0,95.0,28.0,49.98015822,0.0
77,77.0,0.0,25.799999,60.0,0.0
78,71.0,142.5,28.0,49.98015822,1.0
79,68.0,574.166626,28.0,50.0,0.0
80,60.0,66.666664,28.0,70.3,0.0
81,61.0,74.166664,28.0,30.0,0.0
82,72.0,228.333328,27.6,49.39285613,1.0
83,73.0,583.0,30.0,50.0,2.0
84,69.0,1085.0,28.0,70.3,1.0
85,62.0,132.5,29.299999,50.0,2.0
86,62.0,290.833313,29.299999,49.58848797,2.0
87,77.0,597.5,23.0,40.2,0.0
88,50.0,9.0,26.0,52.0,1.0
89,61.0,113.333328,28.9,50.04136289,2.0
90,62.0,2471.0,29.0,63.0,2.0
91,63.0,90.0,27.6,50.3900634,0.0
92,51.0,2001.0,30.0,49.0,3.0
93,68.0,180.833328,28.5,50.0,0.0
94,63.0,91.666664,27.6,50.0,0.0
95,74.0,0.0,27.1,49.81913976,0.0
96,80.0,236.0,22.0,46.0,2.0
97,60.0,2171.666504,29.799999,49.50059557,3.0
98,73.0,595.0,26.700001,49.77880291,1.0
99,61.0,14.0,24.0,66.0,2.0
100,68.0,2112.5,27.6,48.54187923,0.0
101,66.0,35.0,28.5,49.59396936,1.0
102,63.0,95.0,27.6,50.0,0.0
103,75.0,0.0,26.799999,49.74210407,0.0
104,70.0,227.0,24.0,80.0,2.0
105,73.0,556.666626,26.700001,49.39285613,1.0
106,79.0,0.0,24.1,49.77880291,0.0
107,69.0,811.666626,27.6,49.05090631,1.0
108,63.0,107.499992,27.200001,50.0,0.0
109,69.0,329.166656,28.0,53.54529309,1.0
110,66.0,427.499969,27.6,50.0,0.0
111,58.0,353.333313,28.5,50.0,2.0
112,75.0,0.0,27.1,49.77880291,0.0
113,64.0,37.0,25.0,61.0,2.0
114,68.0,738.333313,28.0,50.05944643,0.0
115,78.0,501.66665599999993,22.6,49.39080431,0.0
116,73.0,0.0,27.6,49.59396936,0.0
117,62.0,162.5,28.9,49.77880291,2.0
118,65.0,264.166656,28.9,50.3900634,2.0
119,60.0,37.5,28.0,50.0,0.0
120,56.0,1265.0,21.0,35.0,3.0
121,77.0,331.666656,25.799999,50.14376309,0.0
122,72.0,222.499985,25.299999,49.78721065,0.0
123,77.0,540.833313,23.0,70.2,0.0
124,63.0,82.5,27.6,49.58103521,0.0
125,80.0,20.833332,28.0,60.5,0.0
126,69.0,1564.999878,27.799999,49.27398274,1.0
127,72.0,139.16665600000002,27.1,49.50059557,1.0
128,77.0,0.0,26.700001,49.51117047,0.0
129,58.0,275.0,24.0,33.0,1.0
130,67.0,175.0,28.9,50.04136289,2.0
131,72.0,172.5,27.6,49.58103521,1.0
