,humidity,light,temperature,soil,label
445,76,632.5,23.4,30.0,0
427,78,406.666656,23.0,60.0,0
384,79,0.0,24.5,50.0,0
777,61,344.166656,29.299999,49.70904968,2
390,79,0.0,24.1,49.58103521,0
245,74,18.333332000000002,27.1,50.0,0
762,62,144.16665600000002,28.9,50.0,2
799,53,34.0,23.0,36.0,3
725,65,409.999969,28.0,49.58103521,0
642,72,281.666656,27.6,50.0,1
432,79,460.833313,22.6,40.2,0
312,78,0.0,25.799999,60.5,0
270,77,0.0,26.700001,49.77880291,0
912,58,676.0,27.0,80.0,2
279,78,0.0,26.200001,49.98015822,0
403,80,0.0,24.1,30.0,0
196,68,1053.333252,28.0,50.17331641,0
289,78,0.0,26.200001,50.04136289,0
481,48,474.999969,31.299999,50.0,2
280,78,0.0,26.200001,49.50059557,0
581,60,34.166664000000004,28.0,50.390063399999995,0
829,70,952.0,24.0,31.0,3
302,78,0.0,26.200001,49.98015822,0
940,61,2892.0,25.0,47.0,3
955,82,83.0,26.0,35.0,2
990,65,678.0,29.0,31.0,2
275,77,0.0,26.700001,49.51117047,0
728,64,320.833313,28.0,49.51117047,0
747,63,173.333328,28.9,49.58103521,2
489,50,507.499969,29.299999,49.39285613,2
296,60,2490.0,30.200001,49.39285613,3
739,64,308.333313,28.5,50.0,2
752,62,238.33332799999997,28.9,49.59396936,2
1009,80,2150.0,23.0,40.0,2
624,73,299.166656,26.700001,50.0,1
199,67,694.166626,28.0,50.34282498,0
941,61,2012.0,25.0,46.0,3
896,50,500.0,27.0,47.0,3
26,68,13.333332999999998,28.0,49.32682402,0
201,68,670.0,28.0,50.20540672,0
416,79,29.999997999999998,23.799999,49.51117047,0
111,77,0.0,25.799999,50.14376309,0
668,70,189.16665600000002,28.0,70.3,1
591,60,555.833313,28.0,49.70904968,0
635,73,464.999969,27.1,49.70904968,1
321,78,0.0,25.799999,70.3,0
618,72,321.666656,26.200001,49.39080431,1
267,77,0.0,26.700001,50.0,0
524,63,106.66666399999998,27.1,50.0,0
648,72,350.833313,27.6,50.390063399999995,1
715,67,449.999969,27.6,49.39080431,0
809,70,9.0,28.0,38.0,3
878,64,93.0,23.0,33.0,1
873,65,2880.0,30.0,30.0,2
788,71,109.99999199999999,28.0,60.5,1
560,58,51.666664000000004,28.0,60.5,0
791,71,22.5,27.6,49.58848797,0
496,53,407.499969,28.9,49.50059557,2
815,59,432.0,23.0,39.0,3
208,69,422.499969,28.0,55.0,1
693,69,963.3333130000001,26.200001,36.44568367,1
123,73,164.16665600000002,24.799999,49.7224235,0
830,66,858.0,23.0,39.0,3
411,79,0.0,23.799999,50.0,0
572,60,40.0,28.5,49.69467689,1
646,72,506.66665599999993,27.6,50.04136289,1
9,64,44.166664000000004,28.9,49.39285613,1
426,77,404.999969,23.4,30.0,0
759,62,193.333328,28.9,49.39080431,2
833,66,603.0,22.0,56.0,1
575,60,43.333332,28.5,29.31494266,1
154,68,1702.499878,28.0,48.72841421,0
241,73,86.666664,27.1,50.0,0
950,81,64.0,22.0,33.0,2
555,59,55.83333199999999,28.0,30.0,0
146,67,2072.5,28.0,48.81987973,0
415,79,30.833332000000002,23.799999,49.39285613,0
142,67,2215.0,27.6,49.14228956,0
53,74,0.0,27.6,50.28149211,0
485,51,550.0,29.799999,50.0,2
398,80,0.0,24.1,49.98015822,0
175,71,1278.333252,27.6,49.13661268,1
306,78,0.0,25.799999,49.39080431,0
517,62,95.0,28.0,49.98015822,0
318,77,0.0,25.799999,60.0,0
659,71,142.5,28.0,49.98015822,1
210,68,574.166626,28.0,50.0,0
549,60,66.666664,28.0,70.3,0
545,61,74.166664,28.0,30.0,0
228,72,228.33332799999997,27.6,49.39285613,1
976,73,583.0,30.0,50.0,2
687,69,1085.0,28.0,70.3,1
768,62,132.5,29.299999,50.0,2
781,62,290.833313,29.299999,49.58848797,2
442,77,597.5,23.0,40.2,0
883,50,9.0,26.0,52.0,1
765,61,113.33332800000001,28.9,50.04136289,2
947,62,2471.0,29.0,63.0,2
529,63,90.0,27.6,50.390063399999995,0
869,51,2001.0,30.0,49.0,3
1,68,180.833328,28.5,50.0,0
530,63,91.666664,27.6,50.0,0
62,74,0.0,27.1,49.81913976,0
405,79,0.0,23.799999,50.0,0
966,80,236.0,22.0,46.0,2
474,60,2171.666504,29.799999,49.50059557,3
627,73,595.0,26.700001,49.77880291,1
877,61,14.0,24.0,66.0,2
144,68,2112.5,27.6,48.54187923,0
13,66,35.0,28.5,49.59396936,1
97,76,0.0,26.200001,50.06748717,0
528,63,95.0,27.6,50.0,0
74,75,0.0,26.799999,49.74210407,0
817,70,227.0,24.0,80.0,2
630,73,556.666626,26.700001,49.39285613,1
389,79,0.0,24.1,49.77880291,0
163,69,811.666626,27.6,49.05090631,1
525,63,107.49999199999999,27.200001,50.0,0
213,69,329.166656,28.0,53.54529309,1
360,79,0.0,24.799999,50.0,0
721,66,427.499969,27.6,50.0,0
505,58,353.333313,28.5,50.0,2
248,75,0.0,27.1,49.77880291,0
882,64,37.0,25.0,61.0,2
195,68,738.333313,28.0,50.05944643,0
435,78,501.66665599999993,22.6,49.39080431,0
254,73,0.0,27.6,49.59396936,0
769,62,162.5,28.9,49.77880291,2
5,65,264.166656,28.9,50.390063399999995,2
580,60,37.5,28.0,50.0,0
920,56,1265.0,21.0,35.0,3
388,79,0.0,24.1,50.0,0
112,77,331.666656,25.799999,50.14376309,0
127,72,222.499985,25.299999,49.78721065,0
438,77,540.833313,23.0,70.2,0
532,63,82.5,27.6,49.58103521,0
798,80,20.833332000000002,28.0,60.5,0
180,69,1564.9998779999999,27.799999,49.27398274,1
236,72,139.16665600000002,27.1,49.50059557,1
274,77,0.0,26.700001,49.51117047,0
818,58,275.0,24.0,33.0,1
3,67,175.0,28.9,50.04136289,2
651,72,172.5,27.6,49.58103521,1
440,77,570.0,23.0,70.3,0
433,78,474.999969,22.6,56.7,0
594,61,497.499969,28.0,49.50059557,0
401,80,0.0,24.1,49.58848797,0
600,73,365.833313,25.299999,50.0,0
492,53,427.499969,28.9,49.59396936,2
71,75,0.0,26.799999,49.80342715,0
640,73,204.999985,27.6,49.39080431,1
420,79,310.0,23.799999,49.70904968,0
476,80,1833.333252,30.799999,49.58848797,3
27,68,9.166666000000001,28.0,49.32682402,0
924,52,1776.0,27.0,53.0,3
234,73,160.0,27.6,49.70904968,1
422,78,348.333313,23.799999,49.50059557,0
15,67,31.666665999999996,28.5,49.70904968,1
860,68,2295.0,24.0,32.0,3
285,79,0.0,26.200001,50.0,0
780,62,293.333313,29.299999,49.50059557,2
808,55,14.0,28.0,48.0,1
667,70,95.83332800000001,28.0,56.4,0
813,59,50.0,31.0,46.0,1
387,79,0.0,24.1,50.390063399999995,0
908,56,987.0,21.0,56.0,1
923,67,1912.0,22.0,53.0,1
202,68,645.0,28.0,50.2,0
454,74,3869.999756,23.799999,46.10845297,0
471,50,2490.0,30.200001,49.70904968,3
1013,78,2814.0,21.0,30.0,1
498,53,364.166656,28.5,49.58848797,2
790,71,23.333332000000002,27.6,56.7,0
911,59,808.0,24.0,51.0,3
672,70,228.33332799999997,28.0,49.58848797,1
548,60,72.5,28.0,56.4,0
683,70,1199.166626,28.0,30.0,1
181,69,1153.333252,28.0,49.05514106,1
12,66,39.166664000000004,28.5,49.51117047,1
837,50,618.0,26.0,61.0,2
247,74,1.666667,27.1,50.0,0
916,51,981.0,29.0,40.0,3
544,62,74.166664,28.0,49.39080431,0
1010,72,2495.0,23.0,40.0,2
497,52,393.333313,28.9,49.50059557,2
900,66,394.0,32.0,39.0,3
145,68,1968.333252,27.6,48.54187923,0
590,60,529.166626,28.0,49.70904968,0
979,71,726.0,20.0,30.0,2
649,72,306.666656,27.6,50.0,1
661,71,122.49999199999999,28.0,49.50059557,1
216,70,340.833313,28.0,46.10845297,1
337,78,0.0,25.299999,29.31494266,0
810,59,22.0,31.0,35.0,3
272,77,0.0,26.700001,49.39285613,0
443,76,642.5,23.0,49.58848797,0
825,63,185.0,32.0,30.0,3
730,64,304.166656,28.0,49.59396936,0
382,79,0.0,24.5,50.0,0
166,69,820.833313,27.6,48.66676911,1
665,71,273.333313,28.0,60.0,1
846,68,1433.0,20.0,44.0,3
786,64,260.833313,29.0,56.4,2
361,79,0.0,24.799999,50.0,0
41,73,10.0,27.6,49.51315261,0
493,53,453.333313,29.0,49.70904968,2
1016,62,2949.0,27.0,49.0,2
256,75,0.0,27.1,49.70904968,0
841,54,909.0,31.0,51.0,3
553,59,56.666664000000004,28.0,49.58848797,0
514,61,100.83332800000001,28.0,49.59396936,0
898,53,585.0,25.0,37.0,1
147,67,2115.833252,28.0,48.74362379,0
705,67,481.66665599999993,27.1,49.39285613,0
10,66,41.666664000000004,28.5,49.39285613,1
576,60,41.666664000000004,28.5,50.0,1
465,48,4793.333008,33.299999,49.58103521,3
905,55,738.0,22.0,59.0,3
418,79,34.166664000000004,23.799999,49.59396936,0
