date,penalty,soil,threadhold
2022-01-24,0,53.7,35
2022-01-24,0,56.8,35
2022-01-24,0,47.2,35
2022-01-24,0,49.8,35
2022-01-24,0,52.6,35
2022-01-24,0,51.4,35
2022-01-24,0,54.0,35
2022-01-24,0,49.0,35
2022-01-24,0,36.5,35
2022-01-24,-1,26.2,35
2022-01-24,-2,21.7,35
2022-01-24,-3,16.4,35
2022-01-24,-2,21.4,35
2022-01-24,-1,29.5,35
2022-01-24,-1,29.5,35
2022-01-24,0,47.5,35
2022-01-24,0,51.5,35
2022-01-24,0,65.7,65
2022-01-24,0,66.1,50
2022-01-24,0,65.9,50
2022-01-24,0,65.8,50
2022-01-24,0,67.1,50
2022-01-24,0,67.2,50
2022-01-24,0,56.3,50
2022-01-24,0,51.7,50
2022-01-24,-1,41.5,50
2022-01-24,-2,37.0,50
2022-01-24,-3,28.4,50
2022-01-24,-3,20.5,50
2022-01-24,-3,20.7,50
2022-01-24,-3,25.1,50
2022-01-24,-1,49.5,50
2022-01-24,0,55.1,50
2022-01-24,-1,48.9,50
2022-01-24,0,52.9,50
2022-01-24,0,51.9,50
2022-01-24,0,57.0,50
2022-01-24,0,58.2,50
2022-01-24,0,57.0,50
2022-01-24,0,60.1,50
2022-01-24,0,60.7,50
2022-01-24,0,55.7,50
2022-01-24,0,50.0,50
2022-01-24,-1,44.9,50
2022-01-24,-2,37.3,50
2022-01-24,-1,41.3,50
2022-01-24,-1,41.4,50
2022-01-24,-1,41.3,50
2022-01-24,-1,45.9,50
2022-01-24,0,53.9,50
2022-01-24,0,52.6,50
2022-01-24,0,52.0,50
2022-01-24,0,52.9,50
2022-01-24,0,54.1,50
2022-01-24,0,60.3,50
2022-01-24,0,59.2,50
2022-01-24,-1,49.1,50
2022-01-24,-1,45.9,50
2022-01-24,-2,38.5,50
2022-01-24,-3,31.0,50
2022-01-24,-3,33.3,50
2022-01-24,-3,31.7,50
2022-01-24,-3,31.7,50
2022-01-24,-3,34.4,50
2022-01-24,-2,35.8,50
2022-01-24,-2,36.7,50
2022-01-24,-2,39.7,50
2022-01-24,-2,37.2,50
2022-01-24,-2,39.2,50
2022-01-24,-1,41.2,50
2022-01-24,-2,39.1,50
2022-01-24,-1,48.6,50
2022-01-24,0,52.7,50
2022-01-24,0,51.3,50
2022-01-24,-1,49.5,50
2022-01-24,0,50.6,50
2022-01-24,0,56.7,50
2022-01-24,0,56.7,50
2022-01-24,0,59.0,50
2022-01-24,0,56.1,50
2022-01-24,0,55.7,50
2022-01-24,-1,43.9,50
2022-01-24,-1,40.5,50
2022-01-24,-3,29.5,50
2022-01-24,-3,20.3,50
2022-01-24,-3,14.7,50
2022-01-24,-3,13.6,50
2022-01-24,-3,19.0,50
2022-01-24,-3,16.9,50
2022-01-24,-3,22.0,50
2022-01-24,-3,22.4,50
2022-01-24,-3,29.5,50
2022-01-24,-3,34.0,50
2022-01-24,-2,37.1,50
2022-01-24,-2,39.2,50
2022-01-24,-2,40.0,50
2022-01-24,-1,42.5,50
2022-01-24,-1,44.6,50
2022-01-24,-1,42.0,50
2022-01-24,-1,42.6,50
2022-01-24,-1,45.8,50
2022-01-24,0,50.4,50
2022-01-24,0,50.4,50
2022-01-24,0,50.3,50
2022-01-24,-1,48.1,50
2022-01-24,0,51.4,50
2022-01-24,-1,45.3,50
2022-01-24,-3,33.0,50
2022-01-24,-3,25.4,50
2022-01-24,-3,32.9,50
2022-01-24,-3,31.0,50
2022-01-24,-3,34.3,50
2022-01-24,-1,42.3,50
2022-01-24,-1,49.2,50
2022-01-24,0,50.6,50
2022-01-24,0,53.8,50
2022-01-24,0,54.0,50
2022-01-24,0,53.0,50
2022-01-24,0,57.6,50
2022-01-24,0,62.2,50
2022-01-24,0,60.8,50
2022-01-24,0,54.4,50
2022-01-24,-1,42.7,50
2022-01-24,-3,26.5,50
2022-01-24,-3,18.0,50
2022-01-24,-3,13.5,50
2022-01-24,-3,8.2,50
2022-01-24,-3,10.8,50
2022-01-24,-3,12.7,50
2022-01-24,-3,7.6,50
2022-01-24,-3,2.8,50
2022-01-24,-3,0.0,50
2022-01-24,-3,0.5,50
2022-01-24,-3,5.3,50
2022-01-24,-3,3.0,50
2022-01-24,-3,0.0,50
2022-01-24,-3,0.0,50
2022-01-24,-3,0.0,50
2022-01-24,-3,3.3,50
2022-01-24,-3,8.0,50
2022-01-24,-3,6.4,50
2022-01-24,-3,13.2,50
2022-01-24,-3,15.6,50
2022-01-24,-3,11.9,50
