date,penalty,soil,threadhold
2022-01-24,0,53.6,35
2022-01-24,0,52.4,35
2022-01-24,0,50.5,35
2022-01-24,0,49.1,35
2022-01-24,0,50.5,35
2022-01-24,0,47.5,35
2022-01-24,0,48.2,35
2022-01-24,0,49.7,35
2022-01-24,0,43.6,35
2022-01-24,0,35.4,35
2022-01-24,-2,25.0,35
2022-01-24,-3,16.9,35
2022-01-24,-3,12.7,35
2022-01-24,-3,8.8,35
2022-01-24,-3,4.8,35
2022-01-24,-3,0.8,35
2022-01-24,-3,0.1,35
2022-01-24,0,49.3,35
2022-01-24,0,49.4,35
2022-01-24,-2,52.5,65
2022-01-24,0,58.1,50
2022-01-24,0,67.6,50
2022-01-24,0,65.5,50
2022-01-24,0,61.7,50
2022-01-24,0,61.8,50
2022-01-24,0,62.9,50
2022-01-24,0,63.0,50
2022-01-24,0,60.2,50
2022-01-24,0,59.5,50
2022-01-24,-1,48.4,50
2022-01-24,-1,42.3,50
2022-01-24,-2,37.2,50
2022-01-24,-3,24.6,50
2022-01-24,0,51.4,50
2022-01-24,0,53.6,50
2022-01-24,0,54.5,50
2022-01-24,0,56.8,50
2022-01-24,0,58.9,50
2022-01-24,-1,49.2,50
2022-01-24,-1,41.7,50
2022-01-24,-3,32.6,50
2022-01-24,-3,24.7,50
2022-01-24,-3,29.4,50
2022-01-24,-3,29.2,50
2022-01-24,-2,35.5,50
2022-01-24,-3,34.9,50
2022-01-24,-2,37.2,50
2022-01-24,-1,42.6,50
2022-01-24,-1,41.3,50
2022-01-24,-1,40.7,50
2022-01-24,-1,43.9,50
2022-01-24,-1,43.6,50
2022-01-24,-1,47.1,50
2022-01-24,-1,45.4,50
2022-01-24,-1,46.6,50
2022-01-24,-1,48.0,50
2022-01-24,-1,46.1,50
2022-01-24,-1,46.6,50
2022-01-24,-1,41.6,50
2022-01-24,-1,42.1,50
2022-01-24,-1,45.5,50
2022-01-24,-1,49.1,50
2022-01-24,-1,49.5,50
2022-01-24,-1,48.2,50
2022-01-24,-1,49.5,50
2022-01-24,0,52.0,50
2022-01-24,0,53.9,50
2022-01-24,0,54.4,50
2022-01-24,0,54.3,50
2022-01-24,-1,49.9,50
2022-01-24,-1,49.4,50
2022-01-24,0,52.6,50
2022-01-24,0,55.8,50
2022-01-24,0,56.0,50
2022-01-24,0,58.0,50
2022-01-24,0,61.4,50
2022-01-24,0,60.3,50
2022-01-24,0,52.0,50
2022-01-24,-2,39.9,50
2022-01-24,-3,30.9,50
2022-01-24,-3,21.8,50
2022-01-24,-3,16.5,50
2022-01-24,-3,19.6,50
2022-01-24,-3,24.1,50
2022-01-24,-3,22.1,50
2022-01-24,-3,29.5,50
2022-01-24,-3,32.3,50
2022-01-24,-2,38.1,50
2022-01-24,-1,44.4,50
2022-01-24,-1,44.9,50
2022-01-24,0,51.2,50
2022-01-24,0,51.8,50
2022-01-24,0,54.8,50
2022-01-24,0,61.1,50
2022-01-24,0,62.6,50
2022-01-24,0,66.1,50
2022-01-24,0,68.8,50
2022-01-24,0,66.1,50
2022-01-24,0,54.8,50
2022-01-24,-1,41.8,50
2022-01-24,-3,33.8,50
2022-01-24,-3,25.7,50
2022-01-24,-3,18.3,50
2022-01-24,-3,12.9,50
2022-01-24,-3,12.7,50
2022-01-24,-3,23.0,50
2022-01-24,-3,19.1,50
2022-01-24,-3,23.3,50
2022-01-24,-3,27.8,50
2022-01-24,-3,27.4,50
2022-01-24,-2,38.6,50
2022-01-24,-1,42.1,50
2022-01-24,-1,41.9,50
2022-01-24,0,51.7,50
2022-01-24,0,51.7,50
2022-01-24,0,60.2,50
2022-01-24,0,59.1,50
2022-01-24,0,55.8,50
2022-01-24,0,55.1,50
2022-01-24,-1,49.8,50
2022-01-24,-1,47.4,50
2022-01-24,-1,48.1,50
2022-01-24,-1,47.8,50
2022-01-24,0,50.8,50
2022-01-24,0,53.6,50
2022-01-24,0,51.6,50
2022-01-24,0,51.7,50
2022-01-24,0,52.8,50
2022-01-24,-1,41.2,50
2022-01-24,-3,32.2,50
2022-01-24,-3,21.9,50
2022-01-24,-3,20.9,50
2022-01-24,-3,23.7,50
2022-01-24,-3,25.8,50
2022-01-24,-3,30.1,50
2022-01-24,-3,32.9,50
2022-01-24,-3,34.8,50
2022-01-24,-2,39.8,50
2022-01-24,-1,43.1,50
2022-01-24,-1,42.5,50
2022-01-24,0,53.8,50
2022-01-24,0,54.8,50
2022-01-24,0,53.6,50
2022-01-24,0,54.3,50
2022-01-24,-1,49.9,50
2022-01-24,-1,44.9,50
